# this file contains all the bdt_cuts
# y_bins: 0-(0_1) 1-(1_3)
# cent_bins: 0-(0_10) 1-(10_30) 2-(30_50) 3-(50_90)
# pt_bins 0-(1_2) 1-(2_3) 2-(3_4) 3-(4_5) 4-(5_6) 5-(6_8) 6-(8_10) 7-(10_15) 8-(15_20)
#
#y_bin, cent_bin, pt_bin, cut_value 
0 0 0 0.324121
0 0 1 0.31833
0 0 2 0.362577
0 0 3 0.3776
0 0 4 0.369454​
0 0 5 0.359131
0 0 6 0.320461
0 0 7 0.27327
0 0 8 0.254906
0 0 9 -1.0
0 1 0 0.293365
0 1 1 0.333209
0 1 2 0.379519
0 1 3 0.379308
0 1 4 0.359717
0 1 5 0.338674​
0 1 6 0.33119
0 1 7 0.289892 ​
0 1 8 0.260418
0 1 9 -1.0
0 2 0 0.253687
0 2 1 0.339763​
0 2 2 0.364753
0 2 3 0.348373
0 2 4 0.335646​
0 2 5 0.308875​
0 2 6 0.294981
0 2 7 0.277248
0 2 8 0.281357
0 2 9 -1.0
0 3 0 0.254908
0 3 1 0.362373
0 3 2 0.360482
0 3 3 0.347698 ​
0 3 4 0.309558 ​
0 3 5 0.26355
0 3 6 0.288256
0 3 7 0.355471
0 3 8 0.40359
0 3 9 -1.0
1 0 0 1.0 
1 0 1 0.423588
1 0 2 0.400483
1 0 3 0.422332
1 0 4 0.410785
1 0 5 0.388894 ​
1 0 6 0.366572
1 0 7 0.324576 ​
1 0 8 0.281192  ​
1 0 9 -1.0
1 1 0 0.402092
1 1 1 0.408531
1 1 2 0.446422
1 1 3 0.420416​
1 1 4 0.408732​
1 1 5 0.406909​
1 1 6 0.378424
1 1 7 0.346086 ​
1 1 8 0.232024​
1 1 9 -1.0
1 2 0 0.362059
1 2 1 0.409686
1 2 2 0.421056
1 2 3 0.399181​
1 2 4 0.366268​
1 2 5 0.360017 ​
1 2 6 0.357227
1 2 7 0.317888 ​
1 2 8 0.255115​
1 2 9 -1.0
1 3 0 -1.0
1 3 1 0.502938
1 3 2 0.455136 ​
1 3 3 0.431106​
1 3 4 0.375604
1 3 5 0.351833
1 3 6 0.360089​
1 3 7 0.423626​
1 3 8 -1.0
1 3 9 -1.0

